GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FirstMaven,default,main,181,0,0,0,43,0,4,0,4,0
FirstMaven,enums,BookType,0,46,0,0,0,5,0,2,0,2
FirstMaven,enums,MovieType,0,53,0,0,0,5,0,2,0,2
FirstMaven,item,Book,0,7,0,0,0,2,0,1,0,1
FirstMaven,item,aBook,0,48,0,0,0,12,0,5,0,5
FirstMaven,item,Item,0,33,0,0,0,14,0,9,0,9
FirstMaven,item,EBook,0,13,0,0,0,4,0,2,0,2
FirstMaven,item,EBookForKids,0,8,0,0,0,2,0,1,0,1
FirstMaven,item,Movie,0,40,0,0,0,10,0,4,0,4
FirstMaven,item,MovieForKids,0,6,0,0,0,2,0,1,0,1
FirstMaven,item,BookForKids,7,0,0,0,2,0,1,0,1,0
FirstMaven,creator,Author,0,30,0,0,0,10,0,5,0,5
FirstMaven,creator,aCreator,0,12,0,0,0,6,0,3,0,3
FirstMaven,creator,Director,0,30,0,0,0,10,0,5,0,5
FirstMaven,library,Library,4,225,1,15,1,56,1,28,0,21
